,name,iso,2016,2017,2018,2019,Estimated net-import
36,Cote d'Ivoire,CIV,-1.2,-1.8,-1.1,-1.2,-1.32
37,Cameroon,CMR,(s),(s),(s),(s),0.0
38,Congo-Kinshasa,COD,-0.4,0.5999999999999991,(s),0.1,0.1
39,Congo-Brazzaville,COG,(s),0,(s),(s),0.0
40,Cook Islands,COK,0,0,0,0,0.0
41,Colombia,COL,0.29999999999999905,(s),0.1,1.8,0.73
42,Comoros,COM,0,0,0,0,0.0
43,Cabo Verde,CPV,0,0,0,0,0.0
44,Costa Rica,CRI,-0.29999999999999905,-0.6999999999999991,-0.6999999999999991,-0.4,-0.52
45,Former Czechoslovakia,CSK,0,0,0,0,0.0
46,Cuba,CUB,0,0,0,0,0.0
47,Cayman Islands,CYM,0,0,0,0,0.0
48,Cyprus,CYP,0,0,0,0,0.0
49,Czechia,CZE,-11,-13,-14,-13,-12.75
50,"Germany, East",DDR,0,0,0,0,0.0
51,Germany,DEU,-51,-52,-49,-33,-46.25
52,"Germany, West",DEUW,0,0,0,0,0.0
53,Djibouti,DJI,0.4,0.5,0.5,0.5,0.47
54,Dominica,DMA,0,0,0,0,0.0
55,Denmark,DNK,5.099999999999999,4.599999999999999,5.2,5.799999999999999,5.17
56,Dominican Republic,DOM,0,0,0,0,0.0
57,Algeria,DZA,-0.29999999999999905,-0.29999999999999905,(s),-0.1,-0.23
58,Ecuador,ECU,-0.29999999999999905,-0.2,-0.1,-1.8,-0.6
59,Egypt,EGY,-0.29999999999999905,-0.29999999999999905,-0.5999999999999991,-0.8,-0.5
60,Eritrea,ERI,0,0,0,0,0.0
61,Western Sahara,ESH,0,0,0,0,0.0
62,Spain,ESP,7.7,9.2,11,6.9,8.7
63,Estonia,EST,-2,-2.7,-1.899999999999999,2.2,-1.1
64,Ethiopia,ETH,-1.3,-1.399999999999999,-1,-1.1,-1.2
65,Finland,FIN,19,20,20,20,19.75
66,Fiji,FJI,0,0,0,0,0.0
67,Falkland Islands,FLK,0,0,0,0,0.0
68,France,FRA,-42,-40,-63,-58,-50.75
69,Faroe Islands,FRO,0,0,0,0,0.0
70,Gabon,GAB,0.29999999999999905,0.5,0.5,0.5,0.45
71,United Kingdom,GBR,18,15,19,21,18.25
72,Georgia,GEO,(s),0.8,0.9,1.399999999999999,1.03
73,Ghana,GHA,0.5999999999999991,(s),-0.5999999999999991,-1.3,-0.43
74,Gibraltar,GIB,0,0,0,0,0.0
75,Guinea,GIN,0,0,0,0,0.0
76,Guadeloupe,GLP,0,0,0,0,0.0
77,"Gambia, The",GMB,0,0,0,0,0.0
78,Guinea-Bissau,GNB,0,0,0,0,0.0
79,Equatorial Guinea,GNQ,0,0,0,0,0.0
80,Greece,GRC,8.8,6.2,6.299999999999999,9.9,7.8
81,Grenada,GRD,0,0,0,0,0.0
82,Greenland,GRL,0,0,0,0,0.0
83,Guatemala,GTM,-0.5999999999999991,-1,-1.7000000000000002,-1,-1.07
84,French Guiana,GUF,0,0,0,0,0.0
85,Guam,GUM,0,0,0,0,0.0
86,Guyana,GUY,0,0,0,0,0.0
87,Hawaiian Trade Zone,HITZ,0,0,0,0,0.0
88,Hong Kong,HKG,10,11,12,12,11.25
89,Honduras,HND,0.29999999999999905,0.4,0.4,-0.29999999999999905,0.2
